Coluna1;titulo;subtitulo;categoria;data_publicacao;imagem;corpo
https://www.cnnbrasil.com.br/esportes/futebol/santos/santos-acerta-renovacao-de-robinho-jr-ate-o-fim-de-2031-veja-detalhes/;"Santos acerta renovação de Robinho Jr. até o fim de 2031; veja detalhes";Clube da Baixada Santista define condições de renovação do atacante de 18 anos;Santos;14/04/2026 16:18;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2025/07/robinho_jr_flamengo-e1753746140964.jpg?w=1080&h=608&crop=1;"O Santos encaminhou a extensão de contrato do atacante Robinho Jr. até dezembro de 2031 nesta terça-feira (14), com a formalização prevista para os próximos dias.
Durante as conversas, chegou a haver um pedido do estafe para que o atleta não fosse utilizado no time sub-20. A assessoria do jogador, no entanto, nega qualquer imposição, afirmando que a decisão foi alinhada em conjunto com o departamento de futebol. O novo acordo encerra um período de incertezas nas negociações.
As divergências entre clube e representantes não são recentes. Ainda em dezembro, o Santos apresentou uma proposta de renovação com salário significativamente superior ao atual, cerca de cinco vezes maior.

Já do lado do jogador, a avaliação era de que não havia uma negociação financeira bem definida, além de críticas à forma como a oferta foi conduzida e direcionada.
Internamente, o clube também previa no novo vínculo uma valorização progressiva, com bônus por desempenho e um planejamento de carreira estruturado, considerando a rápida ascensão do atleta ao time profissional.
Desempenho
Integrado ao elenco principal desde a última temporada, o jovem já entrou em campo 23 vezes, mas ainda busca seu primeiro gol como profissional."
https://www.cnnbrasil.com.br/esportes/futebol/cruzeiro/cruzeiro-anuncia-renovacao-com-artur-jorge-apos-23-dias-como-tecnico/;Cruzeiro anuncia renovação com Artur Jorge após 23 dias como técnico;Treinador iniciou no clube celeste em 22 de março e já teve seu vínculo estendido;Cruzeiro;14/04/2026 15:52;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/Artur-Jorge-tera-a-missao-de-ajeitar-a-defesa-do-Cruzeiro-e1775768783469.webp?w=660&h=372&crop=1;"O Cruzeiro anunciou, nesta terça-feira (14), a renovação contratual com o técnico Artur Jorge, de 54 anos.
O novo vínculo do treinador com a equipe celeste vai até o fim de 2030.

Artur Jorge foi anunciado com técnico do Cruzeiro no último dia 22 de março. Ele assumiu o lugar deixado por Tite, demitido no dia 15 daquele mês.
A renovação contratual do português foi selada na Toca da Raposa II e com a presença do presidente da Sociedade Anônima do Futebol (SAF) celeste, Pedro Lourenço. Nas redes sociais, o Cruzeiro informou a extensão do vínculo.












Ver essa foto no Instagram






















Um post compartilhado por Cruzeiro (@cruzeiro)



""Nesta terça-feira, Pedro Lourenço, presidente do Cruzeiro, e Artur Jorge acertaram a permanência do treinador no clube até o fim de 2030! Seguimos juntos por grandes conquistas!"", publicou o clube.
Até aqui, Artur Jorge esteve à frente do Cruzeiro em quatro partidas, com três vitórias (contra Vitória, Barcelona-EQU e RB Bragantino) e uma derrota (diante do São Paulo)."
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/ex-corinthians-cita-caso-vivido-em-clube-e-critica-normalizacao-do-racismo/;Ex-Corinthians cita caso vivido em clube e critica normalização do racismo;Betão comentou o episódio recente no Dérbi paulista e relembrou conversa sobre o crime no futebol;Corinthians;13/04/2026 18:37;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/GettyImages-2270619436-e1776111477248.jpg?w=1200&h=630&crop=1;"Um episódio lamentável de racismo marcou o clássico entre Corinthians e Palmeiras. O goleiro Carlos Miguel, ex-Corinthians e atual jogador do Palmeiras, foi vítima de injúria racial durante a partida, quando um torcedor o chamou de ""macaco"" em um lance em que Yuri Alberto finalizou ao gol.
Betão, ex-zagueiro do Corinthians, foi enfático ao comentar sobre o caso durante o programa Convocação CNN.

""Quando a gente vai falar de racismo, acho que a gente tem que separar a questão de camisa de time. É algo que já tomou uma proporção muito grande, não somente no futebol brasileiro. É algo que a gente pode dizer que é inadmissível, independente da camisa, independente de quem fez o ato"".
O ex-jogador ainda relatou uma experiência pessoal sobre o tópico.

Tanto o Palmeiras quanto o Corinthians se manifestaram oficialmente sobre o caso.
O clube alviverde emitiu nota afirmando: ""Diante da grave violência, incompatível com qualquer valor, o Palmeiras se solidariza e pede que as autoridades competentes adotem providências devidas, inclusive a identificação e responsabilização de todos os envolvidos"".
Já o Corinthians declarou que o racismo é inadmissível e que pretende colaborar com as autoridades para identificação do responsável.
Torcedor joga contra o próprio clube
O episódio é particularmente grave por ter ocorrido em um jogo de torcida única, o que indica que a ofensa partiu inevitavelmente de um torcedor corintiano. Especialistas destacam que, além da gravidade do crime em si, o ato pode resultar em sérias punições esportivas para o clube e ações judiciais contra o responsável.
O clássico tinha um simbolismo especial por contar com dois goleiros negros em campo, algo ainda raro no futebol brasileiro.
A situação reacende discussões históricas sobre o racismo no futebol nacional, incluindo o tratamento dado a Barbosa após a Copa do Mundo de 1950 e a baixa representatividade de goleiros negros na seleção brasileira ao longo da história.
Raul Moura, comentarista, destacou que o episódio vai totalmente contra a história do Corinthians.
""O Corinthians é um clube de luta, a camisa 2 do Corinthians é justamente um protesto, que o clube não conseguia usar jogadores negros, fez a camisa listrada. Então gente, não tem cabimento, é triste, revoltante, mas o pior ainda é saber que existem pessoas assim na sociedade ainda"", disse.
Bruno Rodrigues ressaltou a importância de se continuar abordando o tema.
""É um assunto que muita gente considera chato, mas vocês vão falar disso de novo, tem que falar sempre, a gente tem que bater na tecla sim. Se possível identificar, porque é um crime que se pague como tal, mas eu acho, repito, é um problema institucional de educação"".
https://stories.cnnbrasil.com.br/esportes/fernando-diniz-e-anunciado-como-novo-tecnico-do-corinthians/
&nbsp;"
https://www.cnnbrasil.com.br/esportes/futebol/cruzeiro/cruzeiro-pedro-junio-explica-escolha-por-artur-jorge-e-projeta-sequencia/;Cruzeiro: Pedro Junio explica escolha por Artur Jorge e projeta sequência;"Ao CNN Esportes S/A deste domingo (12), vice-presidente do Cruzeiro diz que treinador português ""dispensa comentários""";Cruzeiro;10/04/2026 09:00;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/Artur-Jorge-tera-a-missao-de-ajeitar-a-defesa-do-Cruzeiro-e1775768783469.webp?w=660&h=372&crop=1;"Pedro Junio, vice-presidente do Cruzeiro, explicou sobre a escolha do técnico português Artur Jorge para o lugar de Tite, demitido com menos de quatro meses no comando e com a Raposa na zona de rebaixamento.
No programa CNN Esportes S/A deste domingo (12), o filho do proprietário da SAF do Cruzeiro Pedro Lourenço, mais conhecido como Pedrinho BH, disse que Artur Jorge é um nome que ""dispensa comentários"" e um profissional de ""muito gabarito"".
Pedro Junio falou sobre a atual situação do Cruzeiro na tabela do Campeonato Brasileiro. O Cabuloso está na zona de rebaixamento, na penúltima colocação, com apenas sete pontos em 10 jogos.


Análise do Tite
Artur Jorge assumiu a comissão técnica após a saída de Tite, ex-treinador da Seleção Brasileira. Apesar de conseguir o título do Campeonato Mineiro deste ano, Tite decepcionou, e em 16 jogos, perde seis e deixou o clube muito atrás na corrida pelo título brasileiro.
O vice-presidente do clube mineiro afirmou que o planejamento era que o técnico permanecesse por muito tempo, mas por conta do péssimo desempenho no Brasileirão, teve que fazer um ""reajuste de rota"".

Prioridade da Raposa
Sobre a sequência da temporada e o planejamento para que uma competição vire prioridade, Pedro Junio falou que o Cruzeiro sempre briga por todas as competições, mas que a prioridade é sair da zona de rebaixamento do Brasileirão.

Durante a entrevista, Pedro Junio também falou sobre as contas e dívidas do Cruzeiro, lembrando de Ronaldo Fenômeno, rasgando elogios para o ex-dono da SAF do clube.
Para completar a conversa, o vice-presidente da Raposa falou sobre as categorias de base do clube, afirmando que pode ser uma saída para o pagamento da dívida, que segundo ele, ""é alta, mas não assusta"".
CNN Esportes S/A
Com Pedro Junio, vice-presidente do Cruzeiro, o CNN Esportes S/A chega à 134ª edição. Apresentado por João Vitor Xavier, o programa aborda os bastidores de um mercado que movimenta bilhões e é um dos mais lucrativos do mundo: o esporte.
Em pauta, os assuntos mais quentes da indústria do mundo da bola, na perspectiva de economia e negócios."
https://www.cnnbrasil.com.br/esportes/futebol/flamengo/eu-sou-200-flamengo-diz-leonardo-jardim-apos-vitoria-sobre-o-cruzeiro/;"""Eu sou 200% Flamengo"", diz Leonardo Jardim após vitória sobre o Cruzeiro";Treinador destaca evolução da equipe e comenta reencontro com antigo clube;Flamengo;12/03/2026 08:46;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/Leonardo-Jardim-no-Cruzeiro-e1773315833261.png?w=649&h=365&crop=1;"Após a vitória do Flamengo sobre o Cruzeiro por 2 a 0, pela quinta rodada do Campeonato Brasileiro, o técnico Leonardo Jardim elogiou a evolução do time no segundo jogo sob o seu comando.

A partida marcou o reencontro de Jardim com a equipe celeste, ex-clube que ele comandou no fim do ano passado.
Antes da partida, o treinador foi cumprimentado por alguns atletas do time mineiro e disse ter boas amizades e relações no antigo clube.
""Com certeza tenho boas amizades e relações lá. Esses atletas ajudamos a colocá-los em um nível melhor, pois estavam um pouco perdidos. Por isso tenho proximidade com alguns. Antes do jogo, o presidente esteve na minha cabine para conversarmos e verem a relação que tenho com ele. Foi bom, mas dentro de campo é outra coisa"", disse o técnico rubro-negro.
""Dentro de campo eu sou 200% Flamengo, e o objetivo é ser o mais competitivo possível, tentar atacar da melhor forma, defender e ganhar o jogo. Claro que as relações não se apagam, como aconteceu em todos os clubes por onde passei. Continuo mantendo relações com as pessoas com quem trabalhei"", completou Jardim.
O primeiro gol do Fla foi marcado por Pedro logo no início da partida. Na reta final, em um momento de pressão do adversário, Smuel Lino fez a jogada e deu a assistência para Jorge Carrascal.
O próximo compromisso do Mengão será no sábado (14), às 20h30 (de Brasília), contra o Botafogo, no Estádio Nilton Santos, pelo Brasileirão."
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/titular-do-corinthians-responde-protesto-da-torcida-entregamos-dois-titulos/;"Titular do Corinthians responde protesto da torcida: ""Entregamos dois títulos""";"Jogadores do Timão foram cobrados após derrota para o Coritiba, na última quarta-feira (11)
";Corinthians;12/03/2026 08:20;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/Elenco-do-Corinthians-e1773314299315.jpg?w=1200&h=630&crop=1;"O lateral-esquerdo Matheus Bidu, titular do Corinthians, deu sua opinião sobre o protesto da torcida após a derrota por 2 a 0 para o Coritiba, na última quarta-feira (11), na Neo Química Arena, pela Série A do Campeonato Brasileiro.
O jogador pediu aos torcedores que não se esqueçam dos títulos conquistados pelo atual elenco, como o Campeonato Paulista e a Copa do Brasil da temporada passada.
“Futebol é assim, né. Nem sempre quando o resultado é positivo... A torcida tem o direito de criticar, eles pagam o ingresso. Mas também é não esquecer o que a gente fez durante esses oito meses. Entregamos dois títulos. A equipe vinha consistente”, disse Bidu em contato com a imprensa.
O lateral, porém, reconheceu que o Corinthians teve uma jornada para esquecer contra o Coxa. A equipe, apesar de ter muita posse de bola, praticamente não assustou o adversário.

“A gente teve tempo para trabalhar, mas foi uma noite em que nada deu certo. A gente tentou de alguma forma, mas não fomos efetivos durante a partida. Isso nos prejudicou. Precisamos ser mais eficientes. Temos a posse de bola, mas temos que buscar mais o gol. Hoje não foi legal, dominamos o primeiro tempo, tivemos a posse, mas não fomos efetivos. A equipe adversária aproveitou suas chances e saiu com a vitória”, disse o defensor.




O Timão não vence, somando todas as competições, há quatro jogos. O último triunfo veio contra o Athletico-PR, na Arena da Baixada, no dia 19 de fevereiro.
Desde a temporada passada, Bidu é um dos jogadores mais regulares do Corinthians. Em 2026, ele acumula um gol e uma assistência em 13 jogos (11 como titular).
https://www.youtube.com/shorts/tYBRIDu1Wfw
Corinthians 0 x 2 Coritiba
O Coritiba venceu o Corinthians por 2 a 0 na noite desta quarta-feira (11), na Neo Química Arena, pela 5ª rodada da Série A do Campeonato Brasileiro. O time comandado por Fernando Seabra foi cirúrgico para resolver a partida, mesmo com menos pose de bola, e ganhou posições importantes na tabela.
Os visitantes abriram o placar com o zagueiro Jacy Maranhão, em jogada de escanteio, no primeiro tempo, e ampliaram com Lucas Ronier, na etapa final.
Com o resultado, o Corinthians caiu para a oitava colocação do Brasileiro, com sete pontos conquistados. O Coritiba, por sua vez, saltou para a quarta colocação, com a mesma pontuação.
O Corinthians volta a entrar em campo neste domingo (15), contra o Santos, na Vila Belmiro, pela sexta rodada do Campeonato Brasileiro. Já o Coxa encara o Remo, no mesmo dia, em Curitiba.
Fim do tabu
Essa foi a primeira vitória do Coritiba na Neo Química Arena desde sua inauguração, em 2014. O último triunfo do Coxa sobre o Timão em São Paulo havia sido concretizado em 2003."
https://www.cnnbrasil.com.br/esportes/brasileirao/para-se-recuperarem-dos-estaduais-remo-e-fluminense-duelam-pelo-brasileiro/;Para se recuperarem dos estaduais, Remo e Fluminense duelam pelo Brasileiro;"Equipes ficaram com o vice-campeonato de seus respectivos regionais no último fim de semana e buscam dar resposta na Série A
";Brasileirão;12/03/2026 07:38;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/Remo-x-Fluminense-e1773311803481.jpg?w=1200&h=630&crop=1;"Remo e Fluminense se enfrentam nesta quinta-feira (12), às 19h (de Brasília), no Mangueirão, em Belém, pela quinta rodada da Série A do Campeonato Brasileiro. O time da casa busca a primeira vitória no torneio, enquanto o Flu quer colar nos líderes.
A equipe paraense ainda não venceu na competição. Em quatro jogos disputados, o time somou três pontos e tenta enfim seus primeiros três pontos ao lado da torcida desde seu retorno para a elite do futebol brasileiro.

Já o Fluminense ficou invicto nas três primeiras rodadas, mas acabou derrotado pelo Palmeiras no último duelo do Brasileirão e está com sete pontos.




Os dois times foram vice-campeões no último final de semana dos respectivos estaduais e por isso a vitória pode dar uma novo ânimo para a sequência de 2026.
Como chega o Remo
O Remo terá duas baixas no time titular. O Fluminense é detentor dos direitos do zagueiro Kayky e do volante Freitas. Sendo assim, uma cláusula no contrato os impede de estar em campo.
A partida marca a estreia do técnico Léo Condé, que chega para substituir Juan Carlos Osório. Ele acompanhou de camarote a final do Campeonato Paraense, em que o Remo perdeu para o rival Paysandu.
Como chega o Fluminense
O Tricolor carioca também junta os cacos após perder a decisão do Carioca para o Flamengo. Para o duelo, o técnico Luís Zubeldía deve contar com todos os seis reforços contratados na temporada.
Regularizados, Julián Millán, Alisson e Rodrigo Castillo ficam à disposição do treinador. Eles se juntam a Jemmes, Guilherme Arana e Savarino. Alguns, inclusive podem iniciar a partida. Bernal é desfalque por lesão.
https://www.youtube.com/watch?v=WNhKAknPLWg
Remo x Fluminense
Remo
Marcelo Rangel; João Lucas, Marllon, Léo Andrade e Cufré; Picco, Patrick de Paula, Marcelinho e Vitor Bueno; Alef Manga e João Pedro. Técnico: Léo Condé.
Fluminense
Fábio; Samuel Xavier, Jemmes, Freytes (Julián Millán) e Guilherme Arana; Martinelli, Hércules e Lucho Acosta; Savarino, Canobbio e Rodrigo Castillo. Técnico: Luís Zubeldía.
Onde assistir a Remo x Fluminense

TV: Premiere
Tempo real: CNN Esportes

Ficha técnica de Remo x Fluminense

Data: 12/03/2026
Horário: 19h (de Brasília)
Local: Mangueirão, em Belém
Rodada: 5ª"
https://www.cnnbrasil.com.br/esportes/brasileirao/sao-paulo-recebe-chapecoense-pelo-brasileirao-em-estreia-de-roger-machado/;São Paulo recebe Chapecoense pelo Brasileirão em estreia de Roger Machado;"Tricolor jogará contra o adversário no Canindé, às 20h, pela quinta rodada da Série A da competição
";Brasileirão;12/03/2026 07:29;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/Roger-Machado-e1773311321821.jpg?w=1200&h=630&crop=1;"O São Paulo recebe a Chapecoense nesta quinta-feira (12), às 20h (de Brasília), em partida que marcará a estreia do técnico Roger Machado no Tricolor. O treinador assume a equipe na quinta rodada da Série A do Campeonato Brasileiro, substituindo Hernán Crespo, demitido nesta semana.
O jogo acontecerá no Canindé, estádio da Portuguesa, porque o Morumbis está em processo de reforma do gramado após realização de shows da banda AC/DC.
Desligado do cargo, Crespo deixou o Tricolor na vice-liderança do Brasileirão, com 10 pontos. Roger Machado assume buscando manter a boa campanha, e a diretoria do São Paulo deseja buscar o título da competição.

A Chapecoense ocupa a 10ª colocação, com cinco pontos, e faz campanha de uma vitória e dois empates.




Como chega o São Paulo
O Tricolor não tem grandes desfalques e conseguiu esvaziar o departamento médico.
Roger Machado já afirmou a preferência por um sistema com linha de quatro defensores, formação que passou a ser utilizada pelo antecessor Hernán Crespo — que antes priorizava a presença de três zagueiros. Portanto, o técnico pode manter a estrutura recente para montar a escalação.
Como chega a Chapecoense
A Chape pode jogar com três zagueiros, mas também tem como possibilidade a tradicional linha de quatro defensores para, assim, Gilmar Dal Pozzo escalar outro volante. Bruno Leonardo, Rafael Carvalheira e Higor Meritão disputam duas vagas no time catarinense.
O lateral-direito Marcos Vinícius e o atacante Garcez são baixas por conta de lesões. O segundo sequer participou das finais do Campeonato Catarinense, a qual o Verdão acabou ficando com o vice-campeonato contra o Barra.
https://www.youtube.com/shorts/zUgVS0NT0Tg
São Paulo x Chapecoense
Provável escalação do São Paulo
Rafael; Lucas Ramon, Alan Franco, Sabino e Enzo Díaz; Bobadilla, Marcos Antonio e Danielzinho; Lucas, Luciano e Calleri. Técnico: Roger Machado.
Provável escalação do Chapecoense
Léo Vieira; Everton, Victor Caetano, Eduardo Doma e Walter Clar; Rafael Carvalheira, Higor Meritão (Bruno Leonardo), Camilo Reijers e Giovanni Augusto; Ítalo e Neto Pessoa. Técnico: Gilmar Dal Pozzo.



Onde assistir a São Paulo x Chapecoense

TV: Premiere
Tempo real: CNN Esportes

Ficha técnica de São Paulo x Chapecoense

Data: 12/03/2026
Horário: 20h (de Brasília)
Local: Canindé, em São Paulo
Rodada: 5ª"
https://www.cnnbrasil.com.br/esportes/brasileirao/gremio-recebe-o-rb-bragantino-para-tentar-embalar-no-campeonato-brasileiro/;Grêmio recebe o RB Bragantino para tentar embalar no Campeonato Brasileiro;Tricolor encara o Massa Bruta nesta quinta-feira (12), às 21h30, em Porto Alegre;Brasileirão;12/03/2026 07:26;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/Tecnicos-Luis-Castro-do-Gremio-e-Vagner-Mancini-do-RB-Bragantino.jpg?w=786&h=415&crop=1;"O Grêmio recebe o RB Bragantino nesta quinta-feira (12), às 21h30 (de Brasília), em jogo válido pela quinta rodada da Série A do Campeonato Brasileiro. As duas equipes se enfrentam na Arena do Grêmio, em Porto Alegre.
O Tricolor chega embalado pela vitória na rodada anterior — 2 a 1 sobre o Atlético —, somada ao título do Gauchão contra o Internacional. No Brasileirão, o Imortal ocupa a oitava colocação e soma seis pontos.
Já o Massa Bruta foi eliminado mais cedo no Paulistão e, no último confronto da temporada, empatou em 1 a 1 com o Athletico-PR. A equipe paulista está na sétima posição, com sete pontos.

Como chega o Grêmio
O técnico Luís Castro não deve contar com Arthur, desfalque por desgaste físico após o GreNal. Nardoni deve ser o substituto do ídolo gremista. Mais à frente, Monsalve tem sido o escolhido para atuar na frente dos volantes.
Contratação mais cara da história do Grêmio, Tetê foi reserva de Enamorado durante as finais do Gauchão. A tendência é de que o colombiano continue nos 11 iniciais, mas não se pode descartar a entrada do brasileiro na ponta direita.
Como chega o RB Bragantino
O técnico Vagner Mancini não poderá utilizar o zagueiro Alix Vinicius e o volante Fabinho, ambos expulsos no jogo anterior.
Eduardo Santos deve ingressar na defesa para formar dupla com Pedro Henrique. Matheus Fernandes e Eric Ramires são alternativas para o meio-campo.
Grêmio x RB Bragantino
Provável escalação do Grêmio
Weverton; Pavón, Gustavo Martins, Viery e Marlon; Noriega, Nardoni e Monsalve (Gabriel Mec); Enamorado (Tetê), Amuzu e Carlos Vinicius. Técnico: Luís Castro.
Provável escalação do RB Bragantino
Cleiton; Hurtado, Eduardo Santos, Pedro Henrique e Juninho Capixaba; Matheus Fernandes (Eric Ramires), Gustavo Neves, Mosquera e Lucas Barbosa; Eduardo Sasha e Pitta. Técnico: Vagner Mancini.

Motivo: jogo pela 5ª rodada do Campeonato Brasileiro
Data e horário: quinta-feira, 12 de março de 2026, às 21h30 (de Brasília)
Local: Arena do Grêmio, em Porto Alegre (RS)
Árbitro: Davi De Oliveira Lacerda (ES)
Assistentes: Luanderson Lima dos Santos (BA) e Márcia Bezerra Lopes Caetano (RO)
Árbitro de vídeo - VAR: Rodrigo Nunes de Sá (RJ)
Onde assistir: Premiere

https://stories.cnnbrasil.com.br/esportes/o-que-acontece-se-o-ira-nao-disputar-a-copa-do-mundo/"
https://www.cnnbrasil.com.br/esportes/brasileirao/vasco-e-palmeiras-protagonizam-duelo-entre-lanterna-e-lider-do-brasileiro/;Vasco e Palmeiras protagonizam duelo entre lanterna e líder do Brasileiro;Líder e campeão estadual, Verdão visita adversário que está em reconstrução com novo treinador;Brasileirão;12/03/2026 07:16;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/03/Renato-Gaucho-e-Abel-Ferreira-duelam-em-Vasco-x-Palmeiras.jpg?w=788&h=407&crop=1;"&nbsp;
&nbsp;
Vasco e Palmeiras protagonizam duelo de opostos na Série A do Campeonato Brasileiro nesta quinta-feira (12): enquanto o Cruzmaltino é o último colocado, o Verdão lidera o torneio.
Em jogo válido pela quinta rodada, as equipes medem forças em São Januário, às 19h30 (de Brasília). Comandado por Abel Ferreira, o Palmeiras soma dez pontos após conquistar três vitórias e um empate. O Vasco ainda não venceu e acumula três derrotas e um empate.

&nbsp;
O Vasco terá a estreia do técnico Renato Gaúcho, que busca reconstruir o time e substitui Fernando Diniz no cargo.
O Palmeiras chega para o duelo após conquistar título do Campeonato Paulista, o 27º da história do clube, após bater o Novorizontino na final.
Como chega o Vasco
Renato Gaúcho estreia no comando da equipe buscando reverter a lanterna do campeonato, após aproveitar o período de dez dias de treinos para implementar seu estilo. O novo treinador sinaliza mudanças em todos os setores, com disputas em aberto na zaga entre Cuesta e Saldivia, enquanto Hugo Moura e Tchê Tchê devem assumir o meio de campo.
Já no setor ofensivo, a tendência é que David seja escalado como centroavante, deixando os recém-contratados Brenner e Spinelli como opções entre os reservas.
Como chega o Palmeiras
Ainda em decorrência do trauma no tornozelo esquerdo sofrido contra o São Paulo na semifinal do Campeoanto Paulista, o atacante Vitor Roque iniciou tratamento e desfalca o time.
O meia-atacante Mauricio sofreu um ferimento no pé esquerdo contra o Novorizontino e também permaneceu na parte interna do centro de excelência. Por fim, o zagueiro Murilo sofreu uma entorse no joelho esquerdo, teve constatada uma lesão no ligamento colateral medial e seguirá tratamento conservador. Essas são as principais baixas do Verdão.
Vasco x Palmeiras
Provável escalação do Vasco
Léo Jardim; Paulo Henrique, Cuesta (Saldivia), Robert Renan e Lucas Piton; Hugo Moura, Thiago Mendes, Tchê Tchê e Johan Rojas; Andrés Gómez e David.. Técnico: Renato Gaúcho.
Provável escalação do Palmeiras
Carlos Miguel; Khellven (Giay), Gustavo Gómez, Bruno Fuchs e Piquerez; Marlon Freitas, Andreas Pereira (Lucas Evangelista), Allan, Jhon Arias e Felipe Anderson (Flaco López); Ramón Sosa. Técnico: Abel Ferreira.

Motivo: Quinta rodada do Campeonato Brasileiro
Local: São Januário, no Rio de Janeiro (RJ)
Data e hora: 12 de março de 2026, quinta-feira, às 19h30 (de Brasília)
Árbitro: Sávio Pereira Sampaio (DF)
Assistentes: Naílton Júnior de Sousa Oliveira (CE) e Daniel Henrique da Silva Andrade (DF)
VAR: Diego Pombo Lopez (BA)
Onde assistir: Record (TV aberta), do Premiere (pay-per-view) e da CazéTV (YouTube)

https://stories.cnnbrasil.com.br/esportes/ira-desiste-da-paralimpiada-de-inverno-por-conflito-no-oriente-medio/
https://www.youtube.com/watch?v=Y9XqPbhbLTo"
